lesson_id,lesson_teacher,lesson_subject,lesson_classes,teacher_value,effective_begin_date,effective_end_date,assigned_day,assigned_period,assigned_starttime,assigned_endtime
LS_69000,TR_Dcl,SU_PIn,,1500000,20250811,20260626,3,1,0830,0915
LS_69000,TR_Dcl,SU_PIn,,1500000,20250811,20260626,3,2,0915,1000
LS_69000,TR_Dcl,SU_PIn,,1500000,20250811,20260626,3,3,1030,1115
LS_69000,TR_Dcl,SU_PIn,,1500000,20250811,20260626,3,4,1115,1200
LS_69000,TR_Dcl,SU_PIn,,1500000,20250811,20260626,4,1,0830,0915
LS_69000,TR_Dcl,SU_PIn,,1500000,20250811,20260626,4,2,0915,1000
LS_69000,TR_Dcl,SU_PIn,,1500000,20250811,20260626,4,3,1030,1115
LS_69000,TR_Dcl,SU_PIn,,1500000,20250811,20260626,4,4,1115,1200
LS_69000,TR_Dcl,SU_PIn,,1500000,20250811,20260626,4,5,1300,1345
LS_69000,TR_Dcl,SU_PIn,,1500000,20250811,20260626,4,6,1345,1430
LS_69000,TR_Dcl,SU_PIn,,1500000,20250811,20260626,4,7,1445,1530
LS_69000,TR_Dcl,SU_PIn,,1500000,20250811,20260626,4,8,1530,1615
LS_34500,TR_ReR,SU_D,CL_S01,400000,20250811,20260626,2,5,1300,1345
LS_34500,TR_ReR,SU_D,CL_S01,400000,20250811,20260626,2,6,1345,1430
LS_34500,TR_ReR,SU_D,CL_S01,400000,20250811,20260626,5,1,0830,0915
LS_34500,TR_ReR,SU_D,CL_S01,400000,20250811,20260626,5,2,0915,1000
LS_34600,TR_AnP,SU_M,CL_S01,400000,20250811,20260626,2,3,1030,1115
LS_34600,TR_AnP,SU_M,CL_S01,400000,20250811,20260626,2,4,1115,1200
LS_34600,TR_AnP,SU_M,CL_S01,400000,20250811,20260626,4,5,1300,1345
LS_34600,TR_AnP,SU_M,CL_S01,400000,20250811,20260626,4,6,1345,1430
LS_34700,TR_ReR,SU_AB,CL_S01,400000,20250811,20260626,1,1,0830,0915
LS_34700,TR_ReR,SU_AB,CL_S01,400000,20250811,20260626,1,2,0915,1000
LS_34700,TR_ReR,SU_AB,CL_S01,400000,20250811,20260626,2,7,1445,1530
LS_34700,TR_ReR,SU_AB,CL_S01,400000,20250811,20260626,2,8,1530,1615
LS_34800,TR_ReR,SU_LA,CL_S01,400000,20250811,20260626,1,7,1445,1530
LS_34800,TR_ReR,SU_LA,CL_S01,400000,20250811,20260626,1,8,1530,1615
LS_34800,TR_ReR,SU_LA,CL_S01,400000,20250811,20260626,3,3,1030,1115
LS_34800,TR_ReR,SU_LA,CL_S01,400000,20250811,20260626,3,4,1115,1200
LS_34900,TR_ReR,SU_Sp,CL_S01,200000,20250811,20260626,5,3,1030,1115
LS_34900,TR_ReR,SU_Sp,CL_S01,200000,20250811,20260626,5,4,1115,1200
LS_35100,TR_ReR,SU_BO,CL_S01,400000,20250811,20260626,1,3,1030,1115
LS_35100,TR_ReR,SU_BO,CL_S01,400000,20250811,20260626,1,4,1115,1200
LS_35100,TR_ReR,SU_BO,CL_S01,400000,20250811,20260626,3,1,0830,0915
LS_35100,TR_ReR,SU_BO,CL_S01,400000,20250811,20260626,3,2,0915,1000
LS_35400,TR_ReR,SU_ABC,,100000,20250811,20260626,4,1,0830,0915
LS_35500,TR_ReR,SU_ABC,,100000,20250811,20260626,4,2,0915,1000
LS_35600,TR_DiB,SU_PO,CL_S01,400000,20250811,20260626,4,1,0830,0915
LS_35600,TR_DiB,SU_PO,CL_S01,400000,20250811,20260626,4,2,0915,1000
LS_35600,TR_DiB,SU_PO,CL_S01,400000,20250811,20260626,4,3,1030,1115
LS_35600,TR_DiB,SU_PO,CL_S01,400000,20250811,20260626,4,4,1115,1200
LS_35601,TR_StC,SU_PO,CL_S01,400000,20250811,20260626,4,1,0830,0915
LS_35601,TR_StC,SU_PO,CL_S01,400000,20250811,20260626,4,2,0915,1000
LS_35601,TR_StC,SU_PO,CL_S01,400000,20250811,20260626,4,3,1030,1115
LS_35601,TR_StC,SU_PO,CL_S01,400000,20250811,20260626,4,4,1115,1200
LS_36900,TR_EmH,SU_ABC,,100000,20250811,20260626,4,4,1115,1200
LS_37000,TR_EmH,SU_ABC,,100000,20250811,20260626,4,3,1030,1115
LS_37100,TR_EmH,SU_AB,CL_S04,400000,20250811,20260626,1,3,1030,1115
LS_37100,TR_EmH,SU_AB,CL_S04,400000,20250811,20260626,1,4,1115,1200
LS_37100,TR_EmH,SU_AB,CL_S04,400000,20250811,20260626,5,1,0830,0915
LS_37100,TR_EmH,SU_AB,CL_S04,400000,20250811,20260626,5,2,0915,1000
LS_37200,TR_SiD,SU_D,CL_S04,400000,20250811,20260626,2,3,1030,1115
LS_37200,TR_SiD,SU_D,CL_S04,400000,20250811,20260626,2,4,1115,1200
LS_37200,TR_SiD,SU_D,CL_S04,400000,20250811,20260626,4,3,1030,1115
LS_37200,TR_SiD,SU_D,CL_S04,400000,20250811,20260626,4,4,1115,1200
LS_37300,TR_EmH,SU_M,CL_S04,400000,20250811,20260626,1,1,0830,0915
LS_37300,TR_EmH,SU_M,CL_S04,400000,20250811,20260626,1,2,0915,1000
LS_37300,TR_EmH,SU_M,CL_S04,400000,20250811,20260626,3,1,0830,0915
LS_37300,TR_EmH,SU_M,CL_S04,400000,20250811,20260626,3,2,0915,1000
LS_37400,TR_EmH,SU_LA,CL_S04,400000,20250811,20260626,1,5,1300,1345
LS_37400,TR_EmH,SU_LA,CL_S04,400000,20250811,20260626,1,6,1345,1430
LS_37400,TR_EmH,SU_LA,CL_S04,400000,20250811,20260626,3,3,1030,1115
LS_37400,TR_EmH,SU_LA,CL_S04,400000,20250811,20260626,3,4,1115,1200
LS_37500,TR_ScS,SU_Sp,CL_S04,200000,20250811,20260626,4,7,1445,1530
LS_37500,TR_ScS,SU_Sp,CL_S04,200000,20250811,20260626,4,8,1530,1615
LS_37600,TR_EmH,SU_BT,CL_S04,400000,20250811,20260626,4,1,0830,0915
LS_37600,TR_EmH,SU_BT,CL_S04,400000,20250811,20260626,4,2,0915,1000
LS_37600,TR_EmH,SU_BT,CL_S04,400000,20250811,20260626,5,3,1030,1115
LS_37600,TR_EmH,SU_BT,CL_S04,400000,20250811,20260626,5,4,1115,1200
LS_37700,TR_EmH,SU_PT,CL_S04,400000,20250811,20260626,2,5,1300,1345
LS_37700,TR_EmH,SU_PT,CL_S04,400000,20250811,20260626,2,6,1345,1430
LS_37700,TR_EmH,SU_PT,CL_S04,400000,20250811,20260626,2,7,1445,1530
LS_37700,TR_EmH,SU_PT,CL_S04,400000,20250811,20260626,2,8,1530,1615
